series,panel,drawing_index,pdf_x_pt,pdf_y_pt,age,value
consumption,A,11,102.80950164794922,168.43927001953125,20.032366528302013,13.768775440284628
consumption,A,12,105.06501007080078,167.82826232910156,20.765826699751912,15.088958653679015
consumption,A,13,105.81650924682617,167.52276611328125,21.01020384723123,15.749033775806936
consumption,A,14,108.0715103149414,166.9117889404297,21.74349903393174,17.069151050924347
consumption,A,15,109.0110092163086,166.6060333251953,22.049011094224824,17.729786648406957
consumption,A,16,111.07825469970703,166.30027770996094,22.721250759269175,18.390422245889624
consumption,A,17,112.39301300048828,165.99501037597656,23.14879199074329,19.05000283093989
consumption,A,18,114.64850616455078,165.68975830078125,23.882247200245843,19.709550446851665
consumption,A,19,115.21200561523438,165.68975830078125,24.065489434911406,19.709550446851665
consumption,A,20,117.6550064086914,165.07826232910156,24.85991953442568,21.030788672678398
consumption,A,21,118.2187614440918,165.07826232910156,25.04324488170935,21.030788672678398
consumption,A,22,120.66100311279297,164.46728515625,25.837428124342956,22.35090594779581
consumption,A,23,121.22525405883789,164.46728515625,26.020914734915507,22.35090594779581
consumption,A,24,123.66800689697266,163.8567657470703,26.815264202785336,23.67003414875785
consumption,A,25,124.42000579833984,163.8567657470703,27.059803854040375,23.67003414875785
consumption,A,26,126.67501068115234,163.55101013183594,27.793100281227723,24.33066974624046
consumption,A,27,127.8030014038086,163.55101013183594,28.159907277136604,24.33066974624046
consumption,A,28,130.0570068359375,163.24525451660156,28.89287869677252,24.991305343723127
consumption,A,29,130.62100982666016,163.24525451660156,29.076284675700634,24.991305343723127
consumption,A,30,133.06400299072266,162.63427734375,29.87071229424123,26.31142261884048
consumption,A,31,133.8155059814453,162.63427734375,30.115090682207388,26.31142261884048
consumption,A,32,136.07050323486328,162.3287811279297,30.84838462842106,26.97149774096846
consumption,A,33,136.82200622558594,162.3287811279297,31.092763016387217,26.97149774096846
consumption,A,34,139.0770034790039,162.0230255126953,31.826056962600894,27.63213333845107
consumption,A,35,139.8290023803711,162.0230255126953,32.070596613855926,27.63213333845107
consumption,A,36,142.0840072631836,161.71728515625,32.803893041043274,28.292735966795192
consumption,A,37,142.83551025390625,161.71728515625,33.04827142900943,28.292735966795192
consumption,A,38,145.09050750732422,161.71728515625,33.78156537522311,28.292735966795192
consumption,A,39,146.21800994873047,161.71728515625,34.14821358881678,28.292735966795192
consumption,A,40,148.47300720214844,161.4120330810547,34.88150753503046,28.95228358270697
consumption,A,41,149.22501373291016,161.4120330810547,35.12604966725917,28.95228358270697
consumption,A,42,151.47950744628906,161.1067657470703,35.85917986921029,29.611864167757233
consumption,A,43,152.23101043701172,161.1067657470703,36.103558257176445,29.611864167757233
consumption,A,44,154.48600006103516,161.1067657470703,36.836849722416446,29.611864167757233
consumption,A,45,155.2375030517578,161.1067657470703,37.081228110382604,29.611864167757233
consumption,A,46,157.4925079345703,160.80101013183594,37.81452453756995,30.2724997652399
consumption,A,47,158.24401092529297,160.80101013183594,38.05890292553611,30.2724997652399
consumption,A,48,160.49950408935547,160.80101013183594,38.79235813503866,30.2724997652399
consumption,A,49,161.62700653076172,160.80101013183594,39.15900634863234,30.2724997652399
consumption,A,50,163.88201141357422,160.49525451660156,39.89230277581969,30.93313536272251
consumption,A,51,164.63350677490234,160.49525451660156,40.13667868281217,30.93313536272251
consumption,A,52,166.8885040283203,160.49525451660156,40.86997262902584,30.93313536272251
consumption,A,53,167.64000701904297,160.49525451660156,41.114351016991996,30.93313536272251
consumption,A,54,169.89501190185547,160.49525451660156,41.847647444179344,30.93313536272251
consumption,A,55,170.64701080322266,160.49525451660156,42.09218709543438,30.93313536272251
consumption,A,56,172.90150451660156,160.18975830078125,42.8253172973855,31.59321048485043
consumption,A,57,173.6529998779297,160.18975830078125,43.069693204377984,31.59321048485043
consumption,A,58,175.90801239013672,160.18975830078125,43.80299211253901,31.59321048485043
consumption,A,59,177.03550720214844,160.18975830078125,44.16963784515901,31.59321048485043
consumption,A,60,179.29100799560547,160.18975830078125,44.90309553563524,31.59321048485043
consumption,A,61,180.0425033569336,160.18975830078125,45.14747144262772,31.59321048485043
consumption,A,62,182.29700469970703,159.884521484375,45.880604125552516,32.25272513162372
consumption,A,63,183.0485076904297,159.884521484375,46.124982513518674,32.25272513162372
consumption,A,64,185.30400848388672,159.884521484375,46.8584402039949,32.25272513162372
consumption,A,65,186.05550384521484,159.884521484375,47.10281611098738,32.25272513162372
consumption,A,66,188.31000518798828,159.884521484375,47.83594879391218,32.25272513162372
consumption,A,67,189.06200408935547,159.884521484375,48.08048844516721,32.25272513162372
consumption,A,68,191.31600189208984,159.57952880859375,48.81345738382946,32.91171227218081
consumption,A,69,192.06800079345703,159.57952880859375,49.05799703508449,32.91171227218081
consumption,A,70,194.3235092163086,159.57952880859375,49.791457206534396,32.91171227218081
consumption,A,71,195.45101165771484,159.57952880859375,50.15810542012807,32.91171227218081
consumption,A,72,197.70600128173828,159.57952880859375,50.891396885368074,32.91171227218081
consumption,A,73,198.45800018310547,159.57952880859375,51.1359365366231,32.91171227218081
consumption,A,74,200.71250915527344,159.57952880859375,51.86907170052158,32.91171227218081
consumption,A,75,201.4640121459961,159.57952880859375,52.11345008848773,32.91171227218081
consumption,A,76,203.7195053100586,159.27403259277344,52.84690529799028,33.57178739430873
consumption,A,77,204.47100067138672,159.27403259277344,53.09128120498277,33.57178739430873
consumption,A,78,206.72600555419922,159.27403259277344,53.82457763217011,33.57178739430873
consumption,A,79,207.47750854492188,159.27403259277344,54.06895602013628,33.57178739430873
consumption,A,80,209.73200225830078,159.27403259277344,54.80208622208739,33.57178739430873
consumption,A,81,210.8600082397461,159.27403259277344,55.16889817994362,33.57178739430873
consumption,A,82,213.1150131225586,158.96827697753906,55.90219460713097,34.232422991791395
consumption,A,83,213.86701202392578,158.96827697753906,56.14673425838601,34.232422991791395
consumption,A,84,216.12200164794922,158.96827697753906,56.88002572362601,34.232422991791395
consumption,A,85,216.87350463867188,158.96827697753906,57.12440411159216,34.232422991791395
