age,conditional_survival
20,0.99845
21,0.99839
22,0.99833
23,0.9983
24,0.99827
25,0.99826
26,0.99824
27,0.9982
28,0.99813
29,0.99804
30,0.99795
31,0.99785
32,0.99776
33,0.99766
34,0.99755
35,0.99743
36,0.9973
37,0.99718
38,0.99707
39,0.99696
40,0.99685
41,0.99672
42,0.99656
43,0.99635
44,0.9961
45,0.99579
46,0.99543
47,0.99504
48,0.99463
49,0.9942
50,0.9937
51,0.99311
52,0.99245
53,0.99172
54,0.99091
55,0.99005
56,0.98911
57,0.98803
58,0.9868
59,0.98545
60,0.98409
61,0.9827
62,0.98123
63,0.97961
64,0.97786
65,0.97603
66,0.97414
67,0.97207
68,0.9697
69,0.96699
70,0.96393
71,0.96055
72,0.9569
73,0.9531
74,0.94921
75,0.94508
76,0.94057
77,0.9357
78,0.93031
79,0.92424
80,0.91717
81,0.90922
82,0.90089
83,0.89282
84,0.88503
85,0.87622
86,0.86576
87,0.8544
88,0.8423
89,0.82942
90,0.8154
91,0.80002
92,0.78404
93,0.76842
94,0.75382
95,0.73996
96,0.72464
97,0.71057
98,0.6961
99,0.6809
