panel,age,cash,paper,canonical,difference
A,99,20,1.00061923642527,0.999999999534339,-0.000619236890927244
A,99,25,0.962165520577734,0.999999999534339,0.0378344789566045
A,99,30,0.625499149213051,0.760372624635418,0.134873475422367
A,99,35,0.492983867961238,0.568560212720255,0.0755763447590167
A,99,40,0.424724171346601,0.470249746454483,0.0455255751078822
A,99,45,0.374711161127036,0.410509950592999,0.0357987894659627
A,99,50,0.333108416861239,0.370330590632742,0.0372221737715026
A,99,55,0.320684455474008,0.341478178420745,0.0207937229467378
A,99,60,0.299839769867781,0.319749063026301,0.0199092931585191
A,99,65,0.281440693355451,0.302790270481324,0.0213495771258732
A,99,70,0.272620485056915,0.289190035670688,0.0165695506137725
A,99,75,0.265171433494382,0.278038920345599,0.012867486851217
A,99,80,0.260759360013474,0.268736335831128,0.00797697581765466
A,99,85,0.250343645351169,0.260847795193198,0.0105041498420294
A,99,90,0.244973206389752,0.2540825263826,0.00910931999284814
A,99,95,0.239923003620377,0.248209468386933,0.00828646476655562
A,99,100,0.233505507690112,0.243069457841487,0.00956395015137429
A,99,105,0.229502627228158,0.238527493143381,0.00902486591522306
A,99,110,0.229502627228158,0.234488820106884,0.00498619287872634
A,99,115,0.219082250835939,0.230873625982388,0.0117913751464497
A,99,120,0.219082250835939,0.22761483080764,0.00853257997170145
A,99,125,0.219082250835939,0.224668565418348,0.0055863145824091
A,99,130,0.219082250835939,0.221985726644126,0.00290347580818684
A,99,135,0.211267897226775,0.21953959689742,0.00827169967064501
A,99,140,0.211267897226775,0.217293521268727,0.00602562404195189
A,99,145,0.211267897226775,0.215225792096078,0.00395789486930284
A,99,150,0.211267897226775,0.21331702336701,0.00204912614023503
A,99,155,0.211267897226775,0.211549912587356,0.000282015360580784
A,99,160,0.211267802301243,0.20990903836263,-0.00135876393861356
A,99,165,0.200845000118124,0.208380666190843,0.00753566607271933
A,99,170,0.200845000118124,0.206952577611122,0.0061075774929979
A,99,175,0.200845000118124,0.205614296700332,0.00476929658220793
A,99,180,0.200845000118124,0.204365169264918,0.00352016914679401
A,99,185,0.200845000118124,0.203187853916731,0.00234285379860744
A,99,190,0.200845000118124,0.20207991210988,0.00123491199175596
A,99,195,0.200845000118124,0.20103607732342,0.000191077205296764
A,99,200,0.200845000118124,0.200048897724331,-0.000796102393792769
A,99,205,0.200845000118124,0.199115303202405,-0.00172969691571828
A,99,210,0.193381552364751,0.198231773150752,0.00485022078600097
A,99,215,0.190420378308755,0.197390250857542,0.0069698725487867
A,99,220,0.190420378308755,0.196594618983061,0.00617424067430564
A,99,225,0.190420378308755,0.195836597601248,0.00541621929249247
A,99,230,0.190420378308755,0.195113006866131,0.00469262855737554
A,99,235,0.190420378308755,0.194422805153155,0.00400242684440003
A,99,240,0.190420378308755,0.193766547886089,0.00334616957733425
A,99,245,0.190420378308755,0.193138560383769,0.00271818207501373
A,99,250,0.190420378308755,0.192537268111917,0.00211688980316133
A,99,255,0.190420378308755,0.191961182427056,0.00154080411830063
A,99,260,0.190420378308755,0.191408894684583,0.000988516375827281
A,99,265,0.190420378308755,0.190879075191607,0.000458696882851273
A,99,270,0.190420378308755,0.190370466631483,-4.99116772723907e-05
A,99,275,0.190420378308755,0.189881879120079,-0.000538499188676267
A,99,280,0.190420378308755,0.189412192370621,-0.00100818593813401
A,99,285,0.190420378308755,0.188960344855171,-0.00146003345358409
