method,states,points,memory_GB,est_seconds,alpha_max_error,ratio_max_error,params
grid (N=20/dim),1,20.0,1.6e-07,2e-06,,,
grid (N=20/dim),2,400.0,3.2e-06,3.9999999999999996e-05,,,
grid (N=20/dim),3,8000.0,6.4e-05,0.0007999999999999999,,,
grid (N=20/dim),5,3200000.0,0.0256,0.32,,,
grid (N=20/dim),10,10240000000000.0,81920.0,1024000.0,,,
grid (N=20/dim),20,1.048576e+26,8.388608e+17,1.048576e+19,,,
grid (N=40/dim),1,40.0,3.2e-07,4e-06,,,
grid (N=40/dim),2,1600.0,1.28e-05,0.00015999999999999999,,,
grid (N=40/dim),3,64000.0,0.000512,0.0063999999999999994,,,
grid (N=40/dim),5,102400000.0,0.8192,10.24,,,
grid (N=40/dim),10,1.048576e+16,83886080.0,1048576000.0,,,
grid (N=40/dim),20,1.099511627776e+32,8.796093022208e+23,1.099511627776e+25,,,
deep learning,1,,0.07,7.615613875008421,0.00013546307655012968,0.00011952415906640174,8578.0
deep learning,3,,0.07,7.576833958999487,0.0008727513373542883,0.0001730317907442866,8706.0
deep learning,6,,0.07,7.476577957975678,0.0006812185441917307,0.0002655295435692838,8898.0
deep learning,11,,0.07,8.695680792006897,0.00023099890506930731,0.0002741536569716811,9218.0
deep learning,21,,0.07,8.277951249998296,0.0004603935033898887,0.0003856286972913625,9858.0
