age,income,wealth,consumption,alpha
2.000000000000000000e+01,1.635624713472630987e+01,0.000000000000000000e+00,1.380752372745316769e+01,9.947090948470201921e-01
2.100000000000000000e+01,1.747525243421080177e+01,2.700074106514290140e+00,1.585051198980732323e+01,9.891012941199427422e-01
2.200000000000000000e+01,1.859881287507431580e+01,4.580283678446716245e+00,1.741546705351381163e+01,9.873533438158982323e-01
2.300000000000000000e+01,1.969427753854414576e+01,6.098636039189417879e+00,1.877745171040508865e+01,9.894342700359262111e-01
2.400000000000000000e+01,2.076490263504267730e+01,7.435340296810603711e+00,2.001661094555811715e+01,9.944676757544047563e-01
2.500000000000000000e+01,2.189761737480147374e+01,8.677609321492727901e+00,2.118752370049173095e+01,1.000000000000000000e+00
2.600000000000000000e+01,2.293609265246575291e+01,9.951468117421647719e+00,2.228329438611057967e+01,1.000000000000000000e+00
2.700000000000000000e+01,2.396119891545743386e+01,1.123196454692553736e+01,2.330919050818875959e+01,1.000000000000000000e+00
2.800000000000000000e+01,2.495836542853566442e+01,1.260504374916698467e+01,2.428240903020085639e+01,1.000000000000000000e+00
2.900000000000000000e+01,2.587821852536799128e+01,1.406429731729500965e+01,2.516964137368862708e+01,1.000000000000000000e+00
3.000000000000000000e+01,2.678084888037755107e+01,1.567190947226010955e+01,2.598978530787368513e+01,1.000000000000000000e+00
3.100000000000000000e+01,2.761145767223745295e+01,1.744865146385717480e+01,2.672845998133879775e+01,1.000000000000000000e+00
3.200000000000000000e+01,2.841230969238784709e+01,1.942592400786841011e+01,2.739264342183390966e+01,9.999959662981869890e-01
3.300000000000000000e+01,2.917171245730250817e+01,2.167236991583424910e+01,2.797387689150883716e+01,9.999881881572806330e-01
3.400000000000000000e+01,2.986585258390804398e+01,2.426172459688180183e+01,2.849137919322282642e+01,9.999761377730898015e-01
3.500000000000000000e+01,3.045390716107460349e+01,2.717834199349625379e+01,2.893438082611503859e+01,9.999412744684818000e-01
3.600000000000000000e+01,3.102485823102871620e+01,3.040731937833385956e+01,2.934387746566577704e+01,9.998567156533022526e-01
3.700000000000000000e+01,3.157991958825788004e+01,3.401911241464467395e+01,2.969721425297668915e+01,9.996677472984736301e-01
3.800000000000000000e+01,3.192423171399332915e+01,3.807384441336368042e+01,2.999756448567644540e+01,9.992948789774747098e-01
3.900000000000000000e+01,3.235055569083655769e+01,4.241840126376033027e+01,3.030255818814422142e+01,9.987363517986123096e-01
4.000000000000000000e+01,3.272920516854811979e+01,4.707914190851008840e+01,3.055793717914763974e+01,9.978452862435877035e-01
