age,income,wealth,consumption,alpha
2.000000000000000000e+01,1.635624713472630987e+01,0.000000000000000000e+00,1.378565355374921708e+01,9.955163391302530584e-01
2.100000000000000000e+01,1.747525243421080177e+01,2.723539718652034924e+00,1.582544925902886312e+01,9.911350157946468009e-01
2.200000000000000000e+01,1.859881287507431580e+01,4.632608087200691394e+00,1.738755740307612996e+01,9.907670756421448344e-01
2.300000000000000000e+01,1.969427753854414576e+01,6.185220804430883845e+00,1.874563427493646017e+01,9.947623361669375441e-01
2.400000000000000000e+01,2.076490263504267730e+01,7.564360910387276427e+00,1.997801616509534028e+01,1.000000000000000000e+00
2.500000000000000000e+01,2.189761737480147374e+01,8.859882855011546710e+00,2.113648582764132300e+01,1.000000000000000000e+00
2.600000000000000000e+01,2.293609265246575291e+01,1.019899052998989575e+01,2.221241359023959205e+01,1.000000000000000000e+00
2.700000000000000000e+01,2.396119891545743386e+01,1.156920352098446791e+01,2.321006660224970730e+01,1.000000000000000000e+00
2.800000000000000000e+01,2.495836542853566442e+01,1.306778608797171870e+01,2.414587956506571587e+01,1.000000000000000000e+00
2.900000000000000000e+01,2.587821852536799128e+01,1.469891705808525373e+01,2.498861128046296187e+01,1.000000000000000000e+00
3.000000000000000000e+01,2.678084888037755107e+01,1.653759599462539498e+01,2.575832344283069020e+01,1.000000000000000000e+00
3.100000000000000000e+01,2.761145767223745295e+01,1.861157989268399859e+01,2.644574392104466654e+01,9.999987929999544223e-01
3.200000000000000000e+01,2.841230969238784709e+01,2.095777227176787605e+01,2.706048603608455849e+01,9.999890042678470925e-01
3.300000000000000000e+01,2.917171245730250817e+01,2.364920482909961308e+01,2.759837833334443857e+01,9.999680351255614275e-01
3.400000000000000000e+01,2.986585258390804398e+01,2.675526170175741569e+01,2.807912623024538590e+01,9.999228899207756038e-01
3.500000000000000000e+01,3.045390716107460349e+01,3.025805026653944552e+01,2.849566834125853987e+01,9.998288951428850879e-01
3.600000000000000000e+01,3.102485823102871620e+01,3.413813979160657652e+01,2.889054745106563260e+01,9.996229883512908199e-01
3.700000000000000000e+01,3.157991958825788004e+01,3.845522947527950208e+01,2.924006270004864660e+01,9.992057083127030559e-01
3.800000000000000000e+01,3.192423171399332915e+01,4.325766429563688575e+01,2.954918667272176691e+01,9.984051618609300904e-01
3.900000000000000000e+01,3.235055569083655769e+01,4.838370041508636632e+01,2.987013516436832106e+01,9.972276687536341111e-01
4.000000000000000000e+01,3.272920516854811979e+01,5.384357847704015398e+01,3.015147305898908670e+01,9.954342293759779192e-01
4.100000000000000000e+01,3.293588973798880204e+01,5.973500674422479051e+01,3.041416461201981747e+01,9.926708494036371455e-01
4.200000000000000000e+01,3.315364467803853898e+01,6.592917363950961374e+01,3.069727863857051631e+01,9.885426007834799966e-01
4.300000000000000000e+01,3.335916231842122670e+01,7.239903572030127066e+01,3.095764533056521373e+01,9.829542848688843648e-01
4.400000000000000000e+01,3.353710591806363794e+01,7.920634636878656920e+01,3.122856421333522192e+01,9.754675914607748854e-01
4.500000000000000000e+01,3.363320079957019715e+01,8.633439426973818343e+01,3.149270706028576328e+01,9.663643518388489451e-01
4.600000000000000000e+01,3.364774831466439764e+01,9.358286543885563447e+01,3.174155748335433458e+01,9.555699178606064104e-01
4.700000000000000000e+01,3.370446446191282064e+01,1.009219143751784884e+02,3.200772741955163525e+01,9.422731214401670607e-01
4.800000000000000000e+01,3.361464579547414644e+01,1.084213239003010756e+02,3.224221584697483678e+01,9.269397887135554237e-01
4.900000000000000000e+01,3.359828168889845301e+01,1.159393490000057767e+02,3.247808610924846562e+01,9.094264440197271648e-01
5.000000000000000000e+01,3.354679116754189749e+01,1.234242079464344357e+02,3.273323631705953574e+01,8.906586595685245245e-01
5.100000000000000000e+01,3.349511114271223988e+01,1.308163188953285498e+02,3.297728982060419156e+01,8.706291474338577752e-01
5.200000000000000000e+01,3.337931618485473706e+01,1.382283788514669425e+02,3.320628484212870291e+01,8.499466219182882920e-01
5.300000000000000000e+01,3.324881869546691604e+01,1.456511377386331674e+02,3.344636106854520108e+01,8.276136620283592871e-01
5.400000000000000000e+01,3.301813209494255830e+01,1.527958227900963379e+02,3.366077081510968583e+01,8.044544722143821547e-01
5.500000000000000000e+01,3.305276497706150707e+01,1.597871343831141360e+02,3.389389568510058837e+01,7.809151396231894804e-01
5.600000000000000000e+01,3.292416653135473581e+01,1.666893190162966505e+02,3.412776631958061557e+01,7.573669857771668790e-01
5.700000000000000000e+01,3.292672206316652250e+01,1.734692498160436855e+02,3.436954769105634000e+01,7.333887994299737034e-01
5.800000000000000000e+01,3.276758847535030839e+01,1.802258415795963913e+02,3.459328529742749225e+01,7.092860748854463715e-01
5.900000000000000000e+01,3.264119292350162027e+01,1.866219515971320959e+02,3.478589233189283192e+01,6.851933299226374841e-01
6.000000000000000000e+01,3.263376236602692160e+01,1.927196271114743524e+02,3.498747312630502648e+01,6.612442086661122209e-01
6.100000000000000000e+01,3.248999369113064262e+01,1.988317254003974028e+02,3.520130251579482916e+01,6.371818353474404395e-01
6.200000000000000000e+01,3.250561738586213778e+01,2.047615765500393366e+02,3.540432697970768317e+01,6.131723442909690069e-01
6.300000000000000000e+01,3.253307604799439190e+01,2.105570791193237028e+02,3.560064024731410370e+01,5.890355035923570126e-01
6.400000000000000000e+01,3.252018720016501874e+01,2.160697272658392194e+02,3.576824168737756793e+01,5.644889911835266894e-01
6.500000000000000000e+01,3.261448893303343510e+01,2.215383568702740149e+02,3.592203090975093005e+01,5.400799870986398021e-01
6.600000000000000000e+01,2.144877358886079222e+01,2.270678398915943603e+02,3.588655496281995028e+01,5.439334948563894212e-01
6.700000000000000000e+01,2.144877358886079222e+01,2.212483195662488242e+02,3.584408002252407499e+01,5.479734081779376043e-01
6.800000000000000000e+01,2.144877358886079222e+01,2.152395051681266125e+02,3.579399782903805516e+01,5.522921696471007058e-01
6.900000000000000000e+01,2.144877358886079222e+01,2.090251608337306095e+02,3.573354071398381393e+01,5.569707694561680800e-01
7.000000000000000000e+01,2.144877358886079222e+01,2.027121872532308942e+02,3.566607002038237084e+01,5.621056618556965478e-01
7.100000000000000000e+01,2.144877358886079222e+01,1.961320662786279456e+02,3.558267821459281066e+01,5.674722073624327567e-01
7.200000000000000000e+01,2.144877358886079222e+01,1.895245957095343385e+02,3.549414101023641166e+01,5.733177545838756828e-01
7.300000000000000000e+01,2.144877358886079222e+01,1.826900074300366441e+02,3.538942746114876314e+01,5.793750452355489466e-01
7.400000000000000000e+01,2.144877358886079222e+01,1.756217020669234614e+02,3.526555083815834024e+01,5.858791407998364953e-01
7.500000000000000000e+01,2.144877358886079222e+01,1.684066512231215995e+02,3.512844117856600690e+01,5.927634616339890750e-01
7.600000000000000000e+01,2.144877358886079222e+01,1.610400096691010674e+02,3.497358902276367587e+01,6.002657239874471529e-01
7.700000000000000000e+01,2.144877358886079222e+01,1.535868314656974292e+02,3.480575708266715651e+01,6.080293755864341065e-01
7.800000000000000000e+01,2.144877358886079222e+01,1.459087375438794538e+02,3.461065616293697644e+01,6.166224397500765786e-01
7.900000000000000000e+01,2.144877358886079222e+01,1.382927355826566043e+02,3.440807318178567442e+01,6.257334967753965804e-01
8.000000000000000000e+01,2.144877358886079222e+01,1.306064288974084775e+02,3.418510765783823757e+01,6.354089784456596890e-01
8.100000000000000000e+01,2.144877358886079222e+01,1.228581465526691829e+02,3.393646685821283882e+01,6.459972918159062605e-01
8.200000000000000000e+01,2.144877358886079222e+01,1.150247037675625705e+02,3.365859618491574423e+01,6.569001533979826890e-01
8.300000000000000000e+01,2.144877358886079222e+01,1.072153976496683896e+02,3.335469529638901776e+01,6.686969219633157602e-01
8.400000000000000000e+01,2.144877358886079222e+01,9.939072175595315173e+01,3.302054779208111768e+01,6.810698144383287023e-01
8.500000000000000000e+01,2.144877358886079222e+01,9.158262308509885941e+01,3.266042151067957633e+01,6.940585545281467983e-01
8.600000000000000000e+01,2.144877358886079222e+01,8.390555476492298226e+01,3.227868000966283546e+01,7.075166781769706148e-01
8.700000000000000000e+01,2.144877358886079222e+01,7.627005750123537098e+01,3.185982004164148762e+01,7.215192343394528640e-01
8.800000000000000000e+01,2.144877358886079222e+01,6.873831373575688986e+01,3.140309847299569412e+01,7.358520312796674734e-01
8.900000000000000000e+01,2.144877358886079222e+01,6.135336234223833429e+01,3.090808976516749951e+01,7.502132883211100056e-01
9.000000000000000000e+01,2.144877358886079222e+01,5.417452501547711563e+01,3.037806129235167774e+01,7.647151578469846278e-01
9.100000000000000000e+01,2.144877358886079222e+01,4.730152192480738904e+01,2.981884572414135448e+01,7.788919296115580648e-01
9.200000000000000000e+01,2.144877358886079222e+01,4.069558964675533019e+01,2.922088148378028905e+01,7.931012723949149024e-01
9.300000000000000000e+01,2.144877358886079222e+01,3.444503214338193686e+01,2.859402522308215921e+01,8.067061356243946380e-01
9.400000000000000000e+01,2.144877358886079222e+01,2.857022734334075409e+01,2.794385032947546676e+01,8.200886918017756821e-01
9.500000000000000000e+01,2.144877358886079222e+01,2.309300910283302244e+01,2.727818703025451441e+01,8.325277714631127424e-01
9.600000000000000000e+01,2.144877358886079222e+01,1.808570124502048770e+01,2.661751682428242560e+01,8.445967406793682963e-01
9.700000000000000000e+01,2.144877358886079222e+01,1.350333002135498184e+01,2.595344790787934386e+01,8.560908675560081615e-01
9.800000000000000000e+01,2.144877358886079222e+01,9.416533193193728835e+00,2.531273203203490496e+01,8.674064743482414741e-01
9.900000000000000000e+01,2.144877358886079222e+01,5.814617638855973603e+00,2.470259296445389552e+01,8.778782661329481707e-01
1.000000000000000000e+02,2.144877358886079222e+01,2.683309638119029117e+00,2.413208322697981956e+01,0.000000000000000000e+00
