age,income,wealth,consumption,alpha
2.000000000000000000e+01,1.635624713472630987e+01,0.000000000000000000e+00,1.168515436493962589e+01,1.000000000000000000e+00
2.100000000000000000e+01,1.747525243421080177e+01,4.952121913652355545e+00,1.262875494804138476e+01,9.999956387086498255e-01
2.200000000000000000e+01,1.859881287507431580e+01,1.038990118644847449e+01,1.340472367876078863e+01,9.999362897368017089e-01
2.300000000000000000e+01,1.969427753854414576e+01,1.651092340923747415e+01,1.415550662064083376e+01,9.994237247179386108e-01
2.400000000000000000e+01,2.076490263504267730e+01,2.338172784928023873e+01,1.490735569089186363e+01,9.962114614497071807e-01
2.500000000000000000e+01,2.189761737480147374e+01,3.100191760077176184e+01,1.566786384157573409e+01,9.865939131947023544e-01
2.600000000000000000e+01,2.293609265246575291e+01,3.944371672928102868e+01,1.643586588964990369e+01,9.666411941397078378e-01
2.700000000000000000e+01,2.396119891545743386e+01,4.859529433960979361e+01,1.720552366015586188e+01,9.345867333382198439e-01
2.800000000000000000e+01,2.495836542853566442e+01,5.846894048858672477e+01,1.798600450558314989e+01,8.922195569419747452e-01
2.900000000000000000e+01,2.587821852536799128e+01,6.898460198554282385e+01,1.876987323574673638e+01,8.434917905108683112e-01
3.000000000000000000e+01,2.678084888037755107e+01,8.013313601279459419e+01,1.955716844670598675e+01,7.933272375995253922e-01
3.100000000000000000e+01,2.761145767223745295e+01,9.178519879677099880e+01,2.034534137206902216e+01,7.450472135560783915e-01
3.200000000000000000e+01,2.841230969238784709e+01,1.038523257208895672e+02,2.113420421956492490e+01,6.996742281951310316e-01
3.300000000000000000e+01,2.917171245730250817e+01,1.163677214371028157e+02,2.192345747151291135e+01,6.588794700201037191e-01
3.400000000000000000e+01,2.986585258390804398e+01,1.292828416665915938e+02,2.270592312005789282e+01,6.222774058834213973e-01
3.500000000000000000e+01,3.045390716107460349e+01,1.424547419456499142e+02,2.347975853463592344e+01,5.901689661742515192e-01
3.600000000000000000e+01,3.102485823102871620e+01,1.559062575054167041e+02,2.426573246812873919e+01,5.620107383225191322e-01
3.700000000000000000e+01,3.157991958825788004e+01,1.695353999025635972e+02,2.504184110232316129e+01,5.369824632711024393e-01
3.800000000000000000e+01,3.192423171399332915e+01,1.832556194497526292e+02,2.580062015620078952e+01,5.152064565550168451e-01
3.900000000000000000e+01,3.235055569083655769e+01,1.970741474241621347e+02,2.657894881804275755e+01,4.955249468520402933e-01
4.000000000000000000e+01,3.272920516854811979e+01,2.107810832651300359e+02,2.733488152369842794e+01,4.780533241025970437e-01
4.100000000000000000e+01,3.293588973798880204e+01,2.246099992992037073e+02,2.808602620116168325e+01,4.624783773871066206e-01
4.200000000000000000e+01,3.315364467803853898e+01,2.382363898868055685e+02,2.884819329497330997e+01,4.487172572464486753e-01
4.300000000000000000e+01,3.335916231842122670e+01,2.517018559714478840e+02,2.959723053706849427e+01,4.362773471882270271e-01
4.400000000000000000e+01,3.353710591806363794e+01,2.650024688933755215e+02,3.035288703675015043e+01,4.252746742059606011e-01
